instance;num_vertices;relaxed_val;relaxed_time;survive_net_val;survive_net_time;gomory_hu_val;gomory_hu_time;perfect_matching_val;perfect_matching_time;short_cutting_val;short_cutting_time
../../../testInst/m10Q500s222.tsp.ccpdp;22;3368.16;1;3899.52;3;0;0;3899.52;0;3899.52;0
../../../testInst/m10Q500s333.tsp.ccpdp;22;3234.52;1;3989.17;3;0;0;3989.17;0;4076.98;0
../../../testInst/m10Q500s444.tsp.ccpdp;22;3631.9;1;4302.38;3;0;0;4302.38;0;4583.54;0
../../../testInst/m10Q500s555.tsp.ccpdp;22;3066.49;0;4647.81;4;0;0;5252.52;0;4184.78;0
../../../testInst/m10Q500s666.tsp.ccpdp;22;3093.52;1;5145.58;5;0;0;5954.64;0;4611.43;0
../../../testInst/m10Q500s777.tsp.ccpdp;22;3631.02;1;5046.8;4;0;0;5900.69;0;4231.74;0
../../../testInst/m10Q500s888.tsp.ccpdp;22;3189.82;1;4034.17;4;0;0;4034.17;0;4334.1;0
../../../testInst/m10Q500s999.tsp.ccpdp;22;2776.3;1;5068.95;4;0;0;6247.95;0;3965.21;0
../../../testInst/m10Q5s000.tsp.ccpdp;22;3223.39;1;3801.86;4;0;0;3801.86;0;3911.25;0
../../../testInst/m10Q5s111.tsp.ccpdp;22;3129.82;1;3943.44;3;0;0;3943.44;0;4151.11;0
../../../testInst/m10Q5s222.tsp.ccpdp;22;3368.16;1;3899.52;3;0;0;3899.52;0;3899.52;0
../../../testInst/m10Q5s333.tsp.ccpdp;22;3234.52;1;3989.17;4;0;0;3989.17;0;4076.98;0
../../../testInst/m10Q5s444.tsp.ccpdp;22;3631.9;1;4302.38;3;0;0;4302.38;0;4583.54;0
../../../testInst/m10Q5s555.tsp.ccpdp;22;3066.49;1;4647.81;4;0;0;5252.52;0;4184.78;0
../../../testInst/m10Q5s666.tsp.ccpdp;22;3093.52;1;5145.58;5;0;0;5954.64;0;4611.43;0
../../../testInst/m10Q5s777.tsp.ccpdp;22;3631.02;1;5046.8;4;0;0;5900.69;0;4231.74;0
../../../testInst/m10Q5s888.tsp.ccpdp;22;3189.82;1;4034.17;5;0;0;4034.17;0;4334.1;0
../../../testInst/m10Q5s999.tsp.ccpdp;22;2776.3;0;5068.95;3;0;0;6247.95;0;3965.21;0
../../../testInst/m15Q10s000.tsp.ccpdp;32;3751.9;1;5379.19;8;0;0;5967.05;0;5056.3;0
../../../testInst/m15Q10s111.tsp.ccpdp;32;3845.63;1;4531.93;7;0;0;4531.93;0;4739.6;0
../../../testInst/m15Q10s222.tsp.ccpdp;32;3619.62;1;4392.66;6;0;0;4392.66;0;4392.66;0
